# remove heading "This store has a current promotion
# remove heading and tailing space
# separate by tab
	Name	Phone Number	Category
	A & W	(416) 596-9134	Fast Food
	A | X Armani Exchange	(416) 260-5559	Unisex Apparel
	abercrombie	(416) 979-0800	Children's Apparel
	Abercrombie & Fitch	(416) 591-6305	Unisex Apparel
	aerie	(416) 977-4991	Specialty Apparel
	Aeropostale	(416) 597-8264	Unisex Apparel
	Akashiro by SUSHI Q	(416) 596-2424	Fast Food,  Restaurants
	Aldo	(416) 979-2477	Footwear
	Aldo	(416) 597-3809	Footwear
	Aldo	(416) 599-4554	Footwear
	Aldo Accessories	(416) 593-9146	Fashion Accessories
	Amaya Express	(416) 971-3331	Fast Food
	American Eagle Outfitters	(416) 204-9557	Unisex Apparel
	Ann Taylor	(647) 748-8001	Ladies Apparel
	Apple	(647) 258-0801	Electronics, Computers and Telephones
	Ardene	(416) 848-3096	Fashion Accessories
	Aritzia	(416) 204-1318	Ladies Apparel
	Aroma Espresso Bar	(647) 341-3883	Fast Food,  Specialty Food
	Atmosphere	(416) 260-1735	Sporting Goods & Athleticwear
	Aveda Experience Centre	(416) 979-8892	Health and Beauty
	B2	(416) 979-3544	Footwear
	Baby Gap	(416) 591-0512	Children's Apparel
	Bagel Stop, The	(416) 979-9570	Specialty Food
	Banana Republic Men	(416) 260-6016	Men's Apparel
	Banana Republic Women	(416) 595-6336	Ladies Apparel
	Baroli Caffé	(416) 595-5551	Restaurants
	Baskin-Robbins	(416) 979-6748	Specialty Food
	Bath & Body Works	(416) 598-1561	Health and Beauty
	Baton Rouge Restaurant	(416) 593-9667	Restaurants
	Batteries & Gadgets	(416) 901-7455	Electronics, Computers and Telephones
	Bay/Dundas Parkade	(416) 598-8398	Services
This store has a current promotion	BCBGMAXAZRIA	(416) 640-2766	Ladies Apparel
	Bell	(416) 260-8012	Electronics, Computers and Telephones
This store has a current promotion	Bench	(416) 548-8656	Unisex Apparel
	Bentley	(416) 593-0022	Leather & Luggage
	Best Buy	(416) 642-8321	Electronics, Computers and Telephones
	Big It Up	(416) 597-6773	Fashion Accessories
	Big Smoke Burger	(416) 593-8880	Fast Food
	Bikini Village	(416) 599-9911	Specialty Apparel
	Birks	(416) 979-9311	Jewellery
This store has a current promotion	Bitter Sweet	(416) 977-7563	Fashion Accessories
	Black's	(416) 598-1596	Photography & Photo Equipment
	Blue Marine & Co	(416) 260-2355	Unisex Apparel
	Bluenotes	(416) 598-9428	Unisex Apparel
	Body Shop, The	(416) 977-7364	Health and Beauty
	Bourbon Street Grill	(416) 977-6688	Fast Food
	Browns	(416) 979-9270	Footwear
	Call it Spring	(416) 977-3193	Footwear
	Call It Spring	(416) 340-2563	Footwear
	Canadian Naturalist, The	(416) 581-0044	Cards, Stationery and Gifts
	Canadian Tire	(416) 979-2025	Dept. Stores and Supermarkets
	Capezio	(416) 597-6662	Footwear
This store has a current promotion	Caryl Baker Visage	(416) 348-0201	Health and Beauty
	Children's Place, The	(416) 581-1444	Children's Apparel
	City Kitchen Restaurant & Bar	(416) 519-5839	Restaurants
	Claire's Boutique	(416) 260-4644	Fashion Accessories
	Club Monaco	(416) 977-2064	Unisex Apparel
