	Name	Phone Number	Category
	Academy for Math & Science	(416) 495-8839	Services
	Adore	(416) 498-8968	Jewellery
	aerie	(416) 498-9112	Ladies Apparel
	Aeropostale	(416) 492-3682	Unisex Apparel
	Aldo & Aldo Accessories	(416) 499-5209	Footwear
	American Eagle Outfitters	(416) 492-3970	Unisex Apparel
	Anh Luu Dent	(416) 490-0580	Services
	Apple	(416) 646-4412	Electronics, Computers and Telephones
	Ardene	(416) 848-3096	Ladies Apparel
	Aritzia	(416) 494-3720	Ladies Apparel
	Aroma Espresso Bar	(416) 492-3294	Specialty Food
	B2	(416) 492-3993	Footwear
	Barber's Chair, The	(416) 491-0544	Health and Beauty
	Bath & Body Works	(416) 492-1469	Health and Beauty
This store has a current promotion	BCBGMAXAZRIA	(416) 644-0331	Ladies Apparel
	Bedo	(416) 502-3281	Unisex Apparel
	Bell	(416) 496-1567	Electronics, Computers and Telephones
	Bell World	(416) 492-3113	Electronics, Computers and Telephones
This store has a current promotion	Ben Moss Jewellers	(416) 494-5088	Jewellery
This store has a current promotion	Bench	(416) 548-8657	Unisex Apparel
	Bentley	(416) 502-3076	Leather & Luggage
	Best Buy Mobile	(416) 640-1443	Electronics, Computers and Telephones
	Bikini Village	(416) 490-0202	Specialty Apparel
This store has a current promotion	Birks (Maison Birks)	(416) 491-3220	Jewellery
	Bluenotes	(416) 497-1710	Unisex Apparel
	Body Shop, The	(416) 496-8178	Health and Beauty
	Booster Juice	(647) 748-8987	Specialty Food
	Bourbon Street Grill	(416) 492-8988	Fast Food
	Bowring	(416) 499-0026	Housewares, Home Furnishings & Decor
	Call it Spring	(416) 494-9261	Footwear
	Calvin Klein	(416) 498-5833	Unisex Apparel
	Caribbean Queen	(416) 916-4385	Fast Food
This store has a current promotion	Caryl Baker Visage	(416) 498-4533	Health and Beauty
	Champs	(416) 490-9837	Sporting Goods & Athleticwear
	Champs		
	Children's Place, The	(416) 490-9119	Children's Apparel
	Cinnabon	(416) 491-1869	Specialty Food
	Claire's Boutique	(416) 492-5735	Fashion Accessories
	Club Monaco	(416) 499-1266	Unisex Apparel
	Coles	(416) 499-0581	Books and News
This store has a current promotion	Danier	(416) 490-1636	Leather & Luggage
	De Berardinis	(416) 491-9551	Health and Beauty
	Delta Optical	(416) 491-1115	Personal Care & Health Service
	Dental Office	(416) 494-3868	Personal Care & Health Service
	Dr. Hooman Nayeri	(416) 490-1697	Personal Care & Health Service
	Dr. Sherif Tewfik Medicine Pro	(416) 499-7337	Personal Care & Health Service
	Druxy's	(416) 494-5757	Restaurants
	Dynamite	(416) 499-9664	Ladies Apparel
	EB Games	(416) 492-7181	Electronics, Computers and Telephones
	Eddie Bauer	(416) 490-9444	Unisex Apparel
	Enterprise Rent-A-Car	(416) 491-9065	Services
	Express and/or Express Men	(416) 491-4763	Unisex Apparel
This store has a current promotion	F.G. Bradley's Fun, Games & Bi	(416) 494-0094	Toys, Hobbies and Pets
	Fairview Family Physicians	(416) 491-0057	Personal Care & Health Service
	Fairview Mall Admin. Office		
	Fairview Mall Dental Centre	(416) 491-1100	Personal Care & Health Service
	Fairweather/Stockhomme	(416) 496-1865	Unisex Apparel
	Femme de Carriere	(416) 499-1485	Ladies Apparel
	Fido	(416) 490-1735	Electronics, Computers and Telephones
	Fit for Life	(416) 497-3439	Fast Food
	Flight Centre	(416) 490-1225	Services
	Flower Accents	(416) 502-9000	Cards, Stationery and Gifts
	Foot Locker	(416) 491-2441	Sporting Goods & Athleticwear
This store has a current promotion	Forever 21, Forever XXI	(416) 494-6363	Unisex Apparel
	Freshly Squeezed	(416) 756-9155	Specialty Food
	Gadgets(@)	(416) 491-6900	Electronics, Computers and Telephones
	Gap / Gap Kids / Baby Gap	(416) 499-5919	Unisex Apparel
	Garage	(416) 494-4874	Ladies Apparel
	Gateway Newstands	(416) 498-6068	Books and News
	GNC - General Nutrition Centre	(416) 494-1023	Health and Beauty
	Godiva Chocolatier	(416) 492-9965	Specialty Food
	Grill It Up	(416) 492-6974	Fast Food
	Guess	(647) 258-0781	Unisex Apparel
	Guess Accessories	(416) 916-2319	Fashion Accessories
	Gymboree	(416) 490-6215	Children's Apparel
	H & M	(416) 497-6348	Unisex Apparel
	Hallmark	(416) 499-2094	Cards, Stationery and Gifts
	Hearing Aid Central	(416) 546-2290	Services
	HERO CERTIFIED BURGERS	(647) 708-8375	Fast Food
	HMV	(416) 499-2004	Music & Videos
	Hollister	(416) 756-2431	Unisex Apparel
	Hudson's Bay	(416) 491-2010	Dept. Stores and Supermarkets
	Isis Jewels	(416) 491-8192	Jewellery
	iTech	(416) 497-9630	Electronics, Computers and Telephones
	J. Crew	(416) 496-7752	Unisex Apparel
	Jack & Jones	(416) 756-4747	Men's Apparel
	Jacob	(416) 498-6356	Ladies Apparel
	Jane Harvey Associates-Lawyers	(416) 496-8100	Services
	Jean Machine	(416) 499-9172	Unisex Apparel
	Jimmy the Greek	(416) 498-8475	Fast Food
	John H. Shin Med. Professional		
	Journeys	(416) 495-0762	Footwear
	Kentucky Fried Chicken	(416) 498-4976	Fast Food
	Kernels	(416) 499-1584	Specialty Food
	Kiddie Kobbler	(416) 499-3556	Footwear
	Koodo	(416) 499-6251	Electronics, Computers and Telephones
	L'Occitane	(416) 773-1145	Health and Beauty
	La Senza	(416) 493-1786	Specialty Apparel
This store has a current promotion	La Vie en Rose	(416) 491-5089	Ladies Apparel
	Laco Sac	(416) 499-9855	Leather & Luggage
	Laura Secord	(416) 499-1845	Specialty Food
	Laura, Laura Petites/Laura Plus	(416) 490-6326	Ladies Apparel
	LCBO	(416) 491-0470	Specialty Food
	Le Chateau	(416) 494-8198	Unisex Apparel
	Lego	(416) 491-6039	Toys, Hobbies and Pets
	Lenscrafters (Optometrists on site)	(416) 498-4801	Personal Care & Health Service
	Lids	(416) 491-3625	Fashion Accessories
	Little Burgundy	(416) 493-6799	Footwear
	M for Mendocino	(416) 495-9494	Ladies Apparel
	M. Tabatabaee Immigration Svce	(416) 490-1931	Services
	Mac's Sushi	(416) 499-8989	Specialty Food
	Magenta Studio Photo	(416) 494-1616	Photography & Photo Equipment
	Manchu Wok	(416) 498-1230	Fast Food
This store has a current promotion	Mappins	(416) 494-3812	Jewellery
	Marciano	(416) 493-3434	Ladies Apparel
	McDonald's	(416) 756-9908	Fast Food
