	Name	Phone Number	Category
	A & W	(905) 513-1059	Fast Food
This store has a current promotion	Aeropostale	(905) 947-8653	Unisex Apparel
	Aerosoles	(905) 604-5650	Footwear
	Aldo	(905) 475-8943	Footwear
	Altima Markville Dental Centre	(905) 752-0233	Personal Care & Health Service
	Amaya Express	(905) 604-7634	Fast Food
	American Eagle Outfitters	(905) 513-8028	Unisex Apparel
	Apple	(905) 513-2860	Electronics, Computers and Telephones
	Ardene, ext. 113	(877) 606-4233	Fashion Accessories
	Aritzia	(905) 513-9418	Ladies Apparel
	Aroma Espresso Bar: Open Soon		Specialty Food
	Banana Republic	(905) 477-1977	Unisex Apparel
	Barber Shop, The	(905) 604-7467	Personal Care & Health Service
	Bath & Body Works	(905) 479-5531	Health and Beauty
This store has a current promotion	BCBGMAXAZRIA	(905) 947-8552	Ladies Apparel
	Bell	(905) 475-3657	Electronics, Computers and Telephones
	Bentley	(905) 305-0872	Leather & Luggage
	Best Buy	(905) 754-3025	Electronics, Computers and Telephones
	Best Buy Mobile	(905) 513-0109	Electronics, Computers and Telephones
	Bikini Village	(905) 944-9035	Specialty Apparel
	Black's	(905) 477-6150	Photography & Photo Equipment
	Bluenotes	(905) 477-6380	Unisex Apparel
	Body Shop, The	(905) 513-1680	Health and Beauty
	Bombay	(905) 470-0604	Housewares, Home Furnishings & Decor
	Bourbon Street Grill	(905) 479-3329	Fast Food
	Browns	(905) 944-9564	Footwear
	Bubble Tease	(905) 479-2555	Specialty Food
This store has a current promotion	Burgundy Home Decor	(905) 604-8854	Housewares, Home Furnishings & Decor
	Capezio	(905) 479-1881	Footwear
	Children's Place, The	(905) 940-6476	Children's Apparel
	Churchill's Cigar Store	(905) 477-6487	General, Variety & Lottery
	Cinnabon	(905) 415-9817	Specialty Food
	Claire's Boutique	(905) 946-0172	Fashion Accessories
	Coach	(905) 479-9482	Fashion Accessories
	Continental Currency Exchange	(905) 475-1500	Services
	DAVIDsTEA		Specialty Food
	Dental Office: Dr. Amelia Woo, Dr. Derby Wong and	(905) 513-9213	Personal Care & Health Service
	Dynamite	(905) 470-6079	Ladies Apparel
	East Side Mario's	(905) 477-9662	Restaurants
	EB Games	(905) 475-7824	Electronics, Computers and Telephones
	Ecco Shoes	(905) 475-3226	Footwear
	Eddie Bauer	(905) 513-6969	Unisex Apparel
	Express	(905) 944-1045	Unisex Apparel
	Express Eatery		Fast Food
	Extreme Pita	(905) 475-7482	Fast Food
This store has a current promotion	Eyestar Optical	(905) 477-0660	Personal Care & Health Service
